"Data generated on Wednesday, June 19, 2019 at 12:16:43 PM EST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area/Partners of Origin,,,,,January 2018 - December 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And General Commodities Imported,,,,,Quantities/Values in Thousands of Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,,,,
,Partner,,HS Code,Product,Year,UOM,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Value,Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code
1,Mexico,1,80440,Avocados,2018-2018,MT,"203,326","93,761.20","178,050","80,721.50","201,631","89,207.20","220,557","88,250.90","173,465","75,342.20","150,002","67,764.60","134,327","55,367.50","198,758","59,137.30","147,023","59,755.50","155,842","77,819.70","162,547","71,567.10","146,416","85,510.20","2,071,943","904,205.00",-10,19,US,MX,80440
1,Mexico,1.1,8044000,"Avocados, Fresh Or Dried",2018-2018,MT,"203,326","93,761.20","178,050","80,721.50","201,631","89,207.20","220,557","88,250.90","173,465","75,342.20","150,002","67,764.60","134,327","55,367.50","198,758","59,137.30","147,023","59,755.50","155,842","77,819.70","162,547","71,567.10","146,416","85,510.20","2,071,943","904,205.00",-10,19,US,MX,8044000
1,Mexico,1.1.1,804400040,AVOC-HSLIKE,2018-2018,MT,"189,790","88,582.10","168,095","76,743.20","190,737","84,799.90","208,675","83,955.70","165,671","72,399.70","143,273","65,132.60","129,515","53,572.90","186,456","55,630.50","136,622","56,480.70","144,988","73,459.30","152,536","67,458.70","137,020","80,863.20","1,953,379","859,078.50",-10,20,US,MX,804400040
1,Mexico,1.1.2,804400020,ORG AVOC-HSLIKE,2018-2018,MT,"13,503","5,159.20","9,930","3,963.40","10,869","4,392.40","11,785","4,255.40","7,794","2,942.50","6,729","2,632.00","4,812","1,794.60","12,301","3,506.80","10,401","3,274.80","10,855","4,360.40","10,011","4,108.30","9,395","4,647.00","118,385","45,037.00",-6,13,US,MX,804400020
1,Mexico,1.1.3,804400090,"AVOCADOS, OTHER",2018-2018,MT,33,19.9,25,14.9,25,14.9,97,39.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,89.5,,,US,MX,804400090
,Grand Total,,,,,MT,"203,326","93,761.20","178,050","80,721.50","201,631","89,207.20","220,557","88,250.90","173,465","75,342.20","150,002","67,764.60","134,327","55,367.50","198,758","59,137.30","147,023","59,755.50","155,842","77,819.70","162,547","71,567.10","146,416","85,510.20","2,071,943","904,205.00",-28,-9,,,
"Notes:<br>
1. Data Source: U.S. Census Bureau Trade Data<br>
2. All zeroes for a data item may show that statistics exist in the other import type. Consumption or General.<br>
3. Users should use cautious interpretation on QUANTITY reports using mixed units of measure. QUANTITY line items will only include statistics on the units of measure that are equal to, or are able to be converted to, the assigned unit of measure of the grouped
 commodities.",,,,,,,mes,m_mx,usa,m_all_part,x_all_part,dp,ca,dist,let,,,,,,,,,,,,,,,,,,,,,,
4. Product Group : Harmonized,,,,,,,1,"93,761.20",552.3925588,"98,295.70",723.2,"98,848.09","98,124.89",0.002973529,ene,0.954126581,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,"80,721.50",1109.156176,"83,623.40","1,587.50","84,732.56","83,145.06",0.005970588,feb,0.965752243,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,"89,207.20",7703.991176,"91,998.30","2,554.30","99,702.29","97,147.99",0.041470588,mar,0.972005658,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4,"88,250.90",44804.11788,"89,411.50","3,173.90","134,215.62","131,041.72",0.241180588,abr,0.99135272,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5,"75,342.20",37342.41995,"77,928.80","4,232.20","115,271.22","111,039.02",0.201014265,may,0.977560748,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6,"67,764.60",39671.97575,"81,362.20","2,567.40","121,034.18","118,466.78",0.213554265,jun,0.887654872,,,,,,,,,,,,,,,,,,,,,
,,,,,,,7,"55,367.50",31105.79323,"80,324.70",881.6,"111,430.49","110,548.89",0.1674425,jul,0.776028991,,,,,,,,,,,,,,,,,,,,,
,,,,,,,8,"59,137.30",18986.92336,"90,130.20",665.9,"109,117.12","108,451.22",0.102206618,ago,0.715966669,,,,,,,,,,,,,,,,,,,,,
,,,,,,,9,"59,755.50",4022.248329,"80,509.80",175.3,"84,532.05","84,356.75",0.021651765,sep,0.754480101,,,,,,,,,,,,,,,,,,,,,
,,,,,,,10,"77,819.70",222.2683412,"90,112.00",135.4,"90,334.27","90,198.87",0.001196471,oct,0.863924287,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11,"71,567.10",66.65864706,"80,094.50",107.3,"80,161.16","80,053.86",0.000358824,nov,0.893621797,,,,,,,,,,,,,,,,,,,,,
,,,,,,,12,"85,510.20",182.0546,"94,320.80",139.5,"94,502.85","94,363.35",0.00098,dic,0.906768954,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"904,204.90",0.829564883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"185,770.00",0.170435117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
