Partner,HS Code,Product,Year,UOM,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,Partner Code
Mexico,80440,Avocados,2015-2015,MT,82796.7,58970.2,65480.4,58629.9,60720.2,51293.7,58794.2,61108.6,76380.4,79282.9,77584.3,73027.3,MX
Mexico,80440,Avocados,2016-2016,MT,99315.5,73684.4,80587.8,80153.4,63388.4,30343.9,46583.3,51027.1,65353.3,58317.1,58419.6,77901.7,MX
Mexico,80440,Avocados,2017-2017,MT,90275.6,66693,73229.9,69023.2,56802.3,51053.7,46745.6,48425.9,55755.9,65462.3,69112.4,82046.4,MX
Mexico,80440,Avocados,2018-2018,MT,93761.2,80721.5,89207.2,88250.9,75342.2,67764.6,55367.5,59137.3,59755.5,77819.7,71567.1,85510.2,MX
Chile,80440,Avocados,2015-2015,MT,1622.2,360,169.3,86,129,0,0,0,449,1251.1,1094.6,2389.4,CI
Chile,80440,Avocados,2016-2016,MT,2795.5,2041.6,288.8,0,0,0,0,837.5,2736,8162.1,6190.5,3248.2,CI
Chile,80440,Avocados,2017-2017,MT,3128.4,1991.2,1894.5,1016.3,149.7,0,0,1766,10738.4,10731.8,4353.1,1249.5,CI
Chile,80440,Avocados,2018-2018,MT,615.2,0,0,0,0,0,0,470.1,6660.5,8165.9,4423.5,5307.4,CI
Dominican Republic,80440,Avocados,2015-2015,MT,3283.5,3340,2238.5,17.4,2,58.6,120.1,32.3,0,97.1,193.3,86.2,DR
Dominican Republic,80440,Avocados,2016-2016,MT,1505.7,1785.4,2327.6,796.4,127.7,321.1,309.5,499,688,2334.1,3228.2,2733.2,DR
Dominican Republic,80440,Avocados,2017-2017,MT,3814.3,2964.1,2626.4,617.5,623.1,367.2,578.6,533.6,1273.7,3804,3526.9,3373.3,DR
Dominican Republic,80440,Avocados,2018-2018,MT,3918.4,2901.8,2769.6,1160.5,1194.4,721.9,1033.5,1404.7,950.3,2521.6,4024.3,3481.5,DR
Colombia,80440,Avocados,2017-2017,MT,0,0,0,0,0,0,0,0,0,0,29.3,0,CO
Colombia,80440,Avocados,2018-2018,MT,1,0,21.5,0.1,0,37.4,18.4,36.2,72.3,0.1,79.6,21.7,CO
Haiti,80440,Avocados,2015-2015,MT,0,0,0,0,0,0,0,0,0,7.5,0,0,HA
Jamaica,80440,Avocados,2017-2017,MT,0,0,0,0,0,0,0,0,0,0.9,0,0,JM
Jamaica,80440,Avocados,2018-2018,MT,0,0,0,0,0,0,0,0,0.6,0,0,0,JM
Peru,80440,Avocados,2015-2015,MT,0,0,0,0,2656.1,13896,16931.6,10629.8,2047,123.3,0,0,PE
Peru,80440,Avocados,2016-2016,MT,0,0,0,0,889.1,9811.1,11823.7,7317.7,1731.1,0,0,0,PE
Peru,80440,Avocados,2017-2017,MT,0,0,0,86.8,7595.2,23501,16219.4,13059.5,3958.5,0,0,0,PE
Peru,80440,Avocados,2018-2018,MT,0,0,0,0,1392.2,12838.2,23905.4,29081.8,13070.7,1604.7,0,0,PE
Thailand,80440,Avocados,2016-2016,MT,0,0,0,0,0,0,0,0,2.1,0,0,0,TH
Leeward-Windward Islands(*),80440,Avocados,2015-2015,MT,0,0,0,0,0,0,3,0,0,0,0,0,Y1
